Długość geograficzna, Szerokość geograficzna, Nazwa, Pojemność schronu, Opis
21.754001577384994,49.69539181051453,"Schrony","112","ul. Wolności 3 - budowla ochronna w zakładzie pracy"
21.749413670881363,49.69035004290909,"Schrony","50","ul. Kletówki 27a - budowla ochronna w zakładzie pracy"
21.749154864601863,49.69631378320311,"Schrony","252","ul. Naftowa 8 - budowla ochronna w zakładzie pracy"
21.7680694093419,49.690988867662234,"Schrony","65","ul. Staszica 12 - budowla ochronna ludności/stanowisko kierowania"
21.749134488553896,49.696413387979305,"Schrony","390","ul. Naftowa 8 - ukrycie w zakładzie pracy"
21.750984015325024,49.695596152320256,"Schrony","74","ul. Kolejowa 8 - ukrycie ludności"
21.749792991996955,49.695231240204976,"Schrony","78","ul. Kolejowa 10 - ukrycie ludności"
21.74871327922249,49.694980858670064,"Schrony","89","ul. Kolejowa 14 - ukrycie ludności"
21.7506565306406,49.69630090203944,"Schrony","28","ul. Naftowa 9 - ukrycie ludności"
21.748222187518536,49.69565350142568,"Schrony","77","ul. Naftowa 17/3 - ukrycie ludności"
21.748169922906452,49.695420156499424,"Schrony","168","ul. Naftowa 17/5 - ukrycie ludności"
